experiment_folder,experiment_no,exp_date,dataset_no,dataset,dataset_freq_min,dataset_length_week,forecast_horizon_min,train_pct,test_pct,model_no,hyperparameter_no,model_name,hyperparamter,run_seed,seed_keys_overridden,runtime_ms,train_RMSE,train_RMSE_stddev,test_RMSE,test_RMSE_stddev,train_nRMSE,train_nRMSE_stddev,test_nRMSE,test_nRMSE_stddev
E00016_260501_ds17_fh30_m8_dnn_hp1,E00016,2026-05-01,ds17,sa,30,40,30,0.9,0.1,m8,hp1,m8_dnn_hp1,"seed: 1, n_hidden: 3, hidden_size: 10, activation_function: relu, learning_rate: 0.001, solver: adam, epochs: 500",,,4877.92398929596,22.9415,1.8691277377429287,23.7785,4.39585899202622,8.94103916344252,0.7284590939841005,9.267244938121651,1.7132073929201397
E00017_260501_ds17_fh30_m6_lr_hp1,E00017,2026-05-01,ds17,sa,30,40,30,0.9,0.1,m6,hp1,m6_lr_hp1,num_features: 50,,,92.07172393798828,14.7389,0.1332178249668147,14.802699999999998,1.2077877894913676,5.74422257158699,0.0519192637925558,5.769087480098972,0.4707136816236943
E00018_260501_ds17_fh30_m10_rf_hp1,E00018,2026-05-01,ds17,sa,30,40,30,0.9,0.1,m10,hp1,m10_rf_hp1,"seed: 1, n_estimators: 100, max_depth: 3, min_samples_split: 2, min_samples_leaf: 1",,,84200.48625469208,31.169400000000003,0.7005130183578957,32.4716,4.133143952650734,12.147715977639004,0.2730124155630305,12.655225129117106,1.6108189067321594
E00019_260501_ds17_fh30_m7_ann_hp1,E00019,2026-05-01,ds17,sa,30,40,30,0.9,0.1,m7,hp1,m7_ann_hp1,"seed: 99, hidden_size: 10, activation_function: relu, learning_rate: 0.001, solver: adam, epochs: 500",,,4324.161744117737,22.8563,0.5165597846436658,23.4252,2.897962609988073,8.907833987812097,0.2013199339519405,9.129552584245742,1.12942907787614
E00020_260501_ds17_fh30_m1_naive_hp1,E00020,2026-05-01,ds17,sa,30,40,30,0.9,0.1,m1,hp1,m1_naive_hp1,hyperparameter_1: No hyperparameter,,,1.5026569366455078,29.6789,0.3778231361658813,29.499900000000004,3.45820619685987,11.566820270160807,0.1472498074369075,11.497058222768256,1.3477739921706824
E00021_260501_ds17_fh30_m3_ets_hp1,E00021,2026-05-01,ds17,sa,30,40,30,0.9,0.1,m3,hp1,m3_ets_hp1,"trend: False, damped_trend: False, seasonal_periods_days: None",,,290.30258655548096,29.41350000000001,1.648742972354662,29.08866666666667,3.396046598620225,11.46338536860783,0.6425680747236949,11.33678738874928,1.3235484008952854
E00022_260501_ds17_fh30_m9_rt_hp3,E00022,2026-05-01,ds17,sa,30,40,30,0.9,0.1,m9,hp3,m9_rt_hp3,"seed: 1, max_depth: 15, min_samples_split: 2, min_samples_leaf: 1, max_features: sqrt",,,303.1213045120239,8.7957,1.2925278462506458,46.6879,6.2425105428647685,3.427966705310959,0.503739602605193,18.195773700886512,2.43290679519459
E00023_260501_ds17_fh30_m13_lstm_hp2,E00023,2026-05-01,ds17,sa,30,40,30,0.9,0.1,m13,hp2,m13_lstm_hp2,"seed: 1, input_size: 1, hidden_size: 64, num_layers: 1, output_size: 1, batch_size: 4096, epochs: 100, learning_rate: 0.001",,,1236051.3585329056,153.4108,3.1831183103645038,153.4476,27.731909106859398,59.78911452586133,1.240563410188522,59.80345666744817,10.8080154044617
E00024_260501_ds17_fh30_m2_snaive_hp2,E00024,2026-05-01,ds17,sa,30,40,30,0.9,0.1,m2,hp2,m2_snaive_hp2,days: 7,,,0.0,58.3335,1.0346092391708943,57.656000000000006,9.407763330828905,22.73443794175072,0.4032204400883301,22.47039443835154,3.6665074376714544
E00025_260501_ds17_fh30_m16_prophet_hp1,E00025,2026-05-01,ds17,sa,30,40,30,0.9,0.1,m16,hp1,m16_prophet_hp1,"seed: 1, seasonality_prior_scale: 10, seasonality_mode: additive, weekly_seasonality: True, daily_seasonality: True, growth: linear",,,1372.700572013855,44.13719999999999,7.163300493177398,55.35677777777777,14.131379495450698,17.20168401214808,2.791768203866628,21.57431371414666,5.5074523244902585
E00026_260501_ds17_fh30_m4_arima_hp1,E00026,2026-05-01,ds17,sa,30,40,30,0.9,0.1,m4,hp1,m4_arima_hp1,"p: 1, d: 0, q: 1",,,891.8113708496094,23.642199999999995,1.2088441494989242,23.54844444444444,2.189766032656862,9.214124451755143,0.4711253790366037,9.177584901420056,0.8534221326748976
E00027_260501_ds18_fh30_m17_xgb_hp1,E00027,2026-05-01,ds18,sa,30,40,30,0.9,0.1,m17,hp1,m17_xgb_hp1,"xgb_seed: 1, n_estimators: 200, learning_rate: 0.1, max_depth: 6, subsample: 0.8, colsample_bytree: 0.8",,,3668.115091323853,6.0451,0.0581520038825452,14.2597,2.5170970073567767,2.362035343788302,0.0227220539747376,5.571771416819912,0.983519229643922
E00028_260501_ds18_fh30_m8_dnn_hp1,E00028,2026-05-01,ds18,sa,30,40,30,0.9,0.1,m8,hp1,m8_dnn_hp1,"seed: 1, n_hidden: 3, hidden_size: 10, activation_function: relu, learning_rate: 0.001, solver: adam, epochs: 500",,,4771.895217895508,21.6392,1.6973800595820214,22.3842,4.442559217388104,8.4552042499386,0.6632266947733251,8.746302218726921,1.7358657240315627
E00029_260501_ds18_fh30_m6_lr_hp1,E00029,2026-05-01,ds18,sa,30,40,30,0.9,0.1,m6,hp1,m6_lr_hp1,num_features: 50,,,93.9072847366333,12.9716,0.130705096389629,13.0321,1.192951843118573,5.068464982462546,0.0510711249252384,5.09210448194133,0.4661286689853709
E00030_260501_ds18_fh30_m10_rf_hp1,E00030,2026-05-01,ds18,sa,30,40,30,0.9,0.1,m10,hp1,m10_rf_hp1,"seed: 1, n_estimators: 100, max_depth: 3, min_samples_split: 2, min_samples_leaf: 1",,,87846.5722322464,27.1972,0.606161474636366,28.9877,4.1270217685127095,10.626912317758054,0.2368488241937987,11.326524281671464,1.6125740321600508
E00031_260501_ds18_fh30_m7_ann_hp1,E00031,2026-05-01,ds18,sa,30,40,30,0.9,0.1,m7,hp1,m7_ann_hp1,"seed: 99, hidden_size: 10, activation_function: relu, learning_rate: 0.001, solver: adam, epochs: 500",,,5377.367568016052,19.7347,0.0924302139153879,20.318,2.944096918694537,7.711048435767647,0.0361157684905226,7.938964469585403,1.1503632657019291
E00032_260501_ds18_fh30_m1_naive_hp1,E00032,2026-05-01,ds18,sa,30,40,30,0.9,0.1,m1,hp1,m1_naive_hp1,hyperparameter_1: No hyperparameter,,,0.6049156188964844,25.5142,0.5054029855251917,25.1285,4.6905869864845045,9.969304423166449,0.1974789026925325,9.818597729795098,1.8327789854907053
E00033_260501_ds18_fh30_m3_ets_hp1,E00033,2026-05-01,ds18,sa,30,40,30,0.9,0.1,m3,hp1,m3_ets_hp1,"trend: False, damped_trend: False, seasonal_periods_days: None",,,269.5833444595337,25.0576,2.109899112911958,24.617222222222225,4.668114522421708,9.790894580819137,0.8244125451234271,9.618823337046486,1.823998195366747
E00034_260501_ds18_fh30_m9_rt_hp3,E00034,2026-05-01,ds18,sa,30,40,30,0.9,0.1,m9,hp3,m9_rt_hp3,"seed: 1, max_depth: 15, min_samples_split: 2, min_samples_leaf: 1, max_features: sqrt",,,298.37398529052734,7.086599999999999,0.6507204895771729,42.31,6.114798370437992,2.7689863967990904,0.2542596144494731,16.532020214005236,2.389268973402202
E00035_260501_ds18_fh30_m13_lstm_hp2,E00035,2026-05-02,ds18,sa,30,40,30,0.9,0.1,m13,hp2,m13_lstm_hp2,"seed: 1, input_size: 1, hidden_size: 64, num_layers: 1, output_size: 1, batch_size: 4096, epochs: 100, learning_rate: 0.001",,,1103190.068244934,132.3247,3.3860774438213235,132.1011,28.990933289373235,51.703961598018886,1.323060759807168,51.61659313382953,11.32778764270375
E00036_260502_ds18_fh30_m2_snaive_hp2,E00036,2026-05-02,ds18,sa,30,40,30,0.9,0.1,m2,hp2,m2_snaive_hp2,days: 7,,,3.761744499206543,55.5011,1.1453345411324638,54.61999999999999,10.450665465254676,21.686251644989984,0.4475228973245165,21.341974570762613,4.08344629452604
E00037_260502_ds18_fh30_m16_prophet_hp1,E00037,2026-05-02,ds18,sa,30,40,30,0.9,0.1,m16,hp1,m16_prophet_hp1,"seed: 1, seasonality_prior_scale: 10, seasonality_mode: additive, weekly_seasonality: True, daily_seasonality: True, growth: linear",,,1382.9337120056152,42.3152,7.000894034970739,52.58333333333333,13.843654168968536,16.534052038753828,2.735498031251358,20.546176544231677,5.409207529120438
E00038_260502_ds18_fh30_m4_arima_hp1,E00038,2026-05-02,ds18,sa,30,40,30,0.9,0.1,m4,hp1,m4_arima_hp1,"p: 1, d: 0, q: 1",,,1119.5837020874023,20.4621,1.3926774732307714,20.253444444444444,2.720479007045961,7.99526945925305,0.5441685686372217,7.9137403204629555,1.062987802795101
E00039_260515_ds20_fh30_m1_naive_hp1,E00039,2026-05-15,ds20,ashd,30,140,30,0.9,0.1,m1,hp1,m1_naive_hp1,hyperparameter_1: No hyperparameter,,,3.476572036743164,15.9643,0.229379864465524,15.8506,2.0183245086512285,4.255217634672282,0.0611402469455244,4.224911373510676,0.5379759865264356
E00040_260515_ds20_fh30_m2_snaive_hp2,E00040,2026-05-15,ds20,ashd,30,140,30,0.9,0.1,m2,hp2,m2_snaive_hp2,days: 7,,,4.390096664428711,41.2104,0.4171658876008172,41.067,3.645804895127183,10.984460377961993,0.1111938288244845,10.946237705573472,0.9717741011080796
E00041_260515_ds20_fh30_m3_ets_hp1,E00041,2026-05-15,ds20,ashd,30,140,30,0.9,0.1,m3,hp1,m3_ets_hp1,"trend: False, damped_trend: False, seasonal_periods_days: None",,,757.2144269943237,16.4744,0.7841107064694371,15.556666666666665,1.8984942059432257,4.391182663859051,0.2090014410718972,4.146564668461408,0.5060357187257044
E00042_260515_ds20_fh30_m4_arima_hp1,E00042,2026-05-15,ds20,ashd,30,140,30,0.9,0.1,m4,hp1,m4_arima_hp1,"p: 1, d: 0, q: 1",,,2247.1263885498047,13.990499999999995,0.5444181909769976,13.345222222222224,1.2763581763926783,3.72910947037343,0.1451123999725452,3.5571133678658264,0.3402079527661269
E00043_260515_ds20_fh30_m6_lr_hp1,E00043,2026-05-15,ds20,ashd,30,140,30,0.9,0.1,m6,hp1,m6_lr_hp1,num_features: 50,,,546.9522953033447,9.9558,0.0739471282591676,9.9688,0.6778499997951037,2.6536769997601084,0.0197102988669583,2.657142095583336,0.180678092543408
E00044_260515_ds20_fh30_m7_ann_hp1,E00044,2026-05-15,ds20,ashd,30,140,30,0.9,0.1,m7,hp1,m7_ann_hp1,"seed: 99, hidden_size: 10, activation_function: relu, learning_rate: 0.001, solver: adam, epochs: 500",,,13050.67219734192,24.406,0.3659186309064413,24.504,3.3699479389318627,6.50531758935949,0.0975340861226752,6.531439080949968,0.8982455790526594
E00045_260515_ds20_fh30_m8_dnn_hp1,E00045,2026-05-15,ds20,ashd,30,140,30,0.9,0.1,m8,hp1,m8_dnn_hp1,"seed: 1, n_hidden: 3, hidden_size: 10, activation_function: relu, learning_rate: 0.001, solver: adam, epochs: 500",,,15640.74432849884,15.217499999999998,0.1236898001723127,15.5247,0.971329106602563,4.056161206919529,0.032969000765603,4.138044086680705,0.2589037254051665
E00046_260515_ds20_fh30_m9_rt_hp3,E00046,2026-05-15,ds20,ashd,30,140,30,0.9,0.1,m9,hp3,m9_rt_hp3,"seed: 1, max_depth: 15, min_samples_split: 2, min_samples_leaf: 1, max_features: sqrt",,,1300.6985187530518,10.9218,0.9877805424283268,27.954700000000003,3.573444869217004,2.911160274009116,0.2632887870640849,7.45120878535064,0.952486837758084
E00047_260515_ds20_fh30_m10_rf_hp1,E00047,2026-05-15,ds20,ashd,30,140,30,0.9,0.1,m10,hp1,m10_rf_hp1,"seed: 1, n_estimators: 100, max_depth: 3, min_samples_split: 2, min_samples_leaf: 1",,,503157.3150157929,18.3087,0.4699427979375084,18.6361,1.9803056694471304,4.880107684516352,0.1252612943299061,4.967374790095156,0.5278422233779698
E00048_260515_ds20_fh30_m13_lstm_hp2,E00048,2026-05-16,ds20,ashd,30,140,30,0.9,0.1,m13,hp2,m13_lstm_hp2,"seed: 1, input_size: 1, hidden_size: 64, num_layers: 1, output_size: 1, batch_size: 4096, epochs: 100, learning_rate: 0.001",,,2367991.6771650314,33.629000000000005,1.686116840554059,35.59410000000001,5.749389831393705,8.96366980302263,0.4494274170520186,9.487459018578244,1.5324758992973064
E00049_260516_ds20_fh30_m16_prophet_hp1,E00049,2026-05-16,ds20,ashd,30,140,30,0.9,0.1,m16,hp1,m16_prophet_hp1,"seed: 1, seasonality_prior_scale: 10, seasonality_mode: additive, weekly_seasonality: True, daily_seasonality: True, growth: linear",,,377427.52561569214,26.9753,1.786395815912899,34.42133333333333,4.424182777643799,7.190153796945386,0.476156360026894,9.17486295101776,1.1792474818465757
