datetime,observation,naive,forecast,residual
2024-03-04 23:30:00,20.94657733333333,23.705898883333333,24.015445574877376,3.0688682415440454
2024-03-05 00:00:00,18.311048916666667,23.176433900000003,24.17240305074543,5.861354134078763
2024-03-05 00:30:00,21.2508873,40.26005798333333,30.182558001422922,8.931670701422924
2024-03-05 01:00:00,20.12560818333333,41.62701418333334,31.526352214755228,11.400744031421898
2024-03-05 01:30:00,23.58433605,23.99043108333333,23.930873263272396,0.34653721327239495
2024-03-05 02:00:00,18.081790533333333,23.224384533333332,22.655418227583205,4.573627694249872
2024-03-05 02:30:00,19.973121266666663,22.47280665,21.795010977322725,1.8218897106560625
2024-03-05 03:00:00,19.637579966666667,23.75960508333333,21.661490247437264,2.023910280770597
2024-03-05 03:30:00,22.95034058333333,23.698352083333333,22.283164354661512,-0.667176228671817
2024-03-05 04:00:00,20.15831658333333,24.546201550000003,22.784122034335873,2.6258054510025417
2024-03-05 04:30:00,21.523290033333332,23.07904333333333,23.346506367033275,1.8232163336999427
2024-03-05 05:00:00,23.27339098333333,27.99930895,25.64975865602775,2.376367672694421
2024-03-05 05:30:00,24.56966555,32.33528231666667,27.07241984202694,2.502754292026939
2024-03-05 06:00:00,22.75077663333333,26.729373783333333,23.7230238864558,0.9722472531224682
2024-03-05 06:30:00,25.382399433333333,28.782057316666663,23.701208985652592,-1.6811904476807413
2024-03-05 07:00:00,28.7671945,26.02752555,22.26950860744709,-6.497685892552909
2024-03-05 07:30:00,18.69906896666667,18.751247166666666,15.192039308935506,-3.507029657731163
2024-03-05 08:00:00,-2.0632506,2.939902350000001,3.4074705144369,5.4707211144369
2024-03-05 08:30:00,-19.2661789,-11.2099573,-9.016895745755221,10.249283154244779
2024-03-05 09:00:00,-28.89566345,-33.71860161666667,-26.35285307378122,2.5428103762187817
2024-03-05 09:30:00,-48.54592933333333,-56.32735681666667,-44.67951682672173,3.866412506611603
2024-03-05 10:00:00,-73.61749331666667,-76.74319665,-62.79242750755153,10.825065809115138
2024-03-05 10:30:00,-91.0568855,-98.26117013333334,-82.56674884554913,8.490136654450879
2024-03-05 11:00:00,-123.86936836666666,-105.1408595,-95.08739906962693,28.781969297039737
2024-03-05 11:30:00,-147.97962775,-106.78015926666669,-106.40440382636697,41.57522392363302
2024-03-05 12:00:00,-153.03452226666667,-119.2924772,-118.69950074254973,34.33502152411694
2024-03-05 12:30:00,-174.75135335000002,-140.91846938333333,-132.23233155725796,42.51902179274205
2024-03-05 13:00:00,-175.15461926666669,-146.91807721666666,-138.977621529517,36.17699773714969
2024-03-05 13:30:00,-184.38300873333333,-139.08783883333334,-137.03227473488894,47.35073399844438
2024-03-05 14:00:00,-161.00803658333334,-130.40576431666668,-129.0331278509388,31.97490873239454
2024-03-05 14:30:00,-151.48778278333333,-115.02714231666666,-115.38964649017582,36.09813629315751
2024-03-05 15:00:00,-126.13039076666666,-99.18208221666669,-99.63510264515199,26.495288121514676
2024-03-05 15:30:00,-104.4457556,-83.08935986666667,-81.48548282835766,22.960272771642337
2024-03-05 16:00:00,-81.94160448333334,-68.1385822,-63.07158659491837,18.870017888414964
2024-03-05 16:30:00,-46.10456556666667,-42.8772827,-41.25863503622173,4.845930530444939
2024-03-05 17:00:00,-14.254176533333334,-24.479327766666668,-22.39228893107532,-8.138112397741986
2024-03-05 17:30:00,-7.1692309,-15.995305,-10.13238303838321,-2.9631521383832107
2024-03-05 18:00:00,3.5602428000000006,-3.598364383333333,1.1993415436515582,-2.360901256348442
2024-03-05 18:30:00,7.529836166666667,4.279096816666667,9.086350782470356,1.5565146158036898
2024-03-05 19:00:00,9.1913994,15.685355016666668,16.442298272912222,7.250898872912222
2024-03-05 19:30:00,14.152105416666666,16.082578950000002,18.573514163631444,4.421408746964778
2024-03-05 20:00:00,12.314060016666668,15.18449615,19.62943849735802,7.315378480691352
2024-03-05 20:30:00,15.642663333333331,18.84711768333333,21.583731102855012,5.9410677695216805
