experiment_folder,experiment_no,exp_date,dataset_no,dataset,dataset_freq_min,dataset_length_week,forecast_horizon_min,train_pct,test_pct,model_no,hyperparameter_no,model_name,hyperparamter,run_seed,seed_keys_overridden,runtime_ms,train_RMSE,train_RMSE_stddev,test_RMSE,test_RMSE_stddev,train_nRMSE,train_nRMSE_stddev,test_nRMSE,test_nRMSE_stddev
E00015_260526_ds23_fh1440_m3_ets_hp1,E00015,2026-05-26,ds23,sa,30,40,1440,0.9,0.1,m3,hp1,m3_ets_hp1,"trend: False, damped_trend: False, seasonal_periods_days: None",,,609.0459823608398,13.0227,0.6378167709721445,17.156444444444446,2.856417822689421,12.847123584328717,0.6292175110258723,16.925135497665433,2.817906638144943
E00016_260526_ds23_fh1440_m4_arima_hp1,E00016,2026-05-26,ds23,sa,30,40,1440,0.9,0.1,m4,hp1,m4_arima_hp1,"p: 1, d: 0, q: 1",,,2339.141583442688,10.5238,0.6510084143508099,52.16133333333333,7.961476354923126,10.38191459349893,0.642231300237488,51.45807671655634,7.854137056478942
E00017_260526_ds23_fh1440_m6_lr_hp1,E00017,2026-05-26,ds23,sa,30,40,1440,0.9,0.1,m6,hp1,m6_lr_hp1,num_features: 50,,,376.8745183944702,14.7755,0.2169286877191571,14.962799999999998,1.9162654536595107,14.576291745970416,0.214003982285875,14.761066504457116,1.8904297191476012
E00018_260526_ds23_fh1440_m7_ann_hp1,E00018,2026-05-26,ds23,sa,30,40,1440,0.9,0.1,m7,hp1,m7_ann_hp1,"seed: 99, hidden_size: 10, activation_function: relu, learning_rate: 0.001, solver: adam, epochs: 500",,,7255.613303184509,15.3656,0.1947751980560608,15.5488,1.6915495723021408,15.158435819558258,0.1921491734116819,15.33916585562213,1.6687435327838307
E00019_260526_ds23_fh1440_m8_dnn_hp1,E00019,2026-05-26,ds23,sa,30,40,1440,0.9,0.1,m8,hp1,m8_dnn_hp1,"seed: 1, n_hidden: 3, hidden_size: 10, activation_function: relu, learning_rate: 0.001, solver: adam, epochs: 500",,,8926.131176948547,15.406500000000005,0.2383886882103815,15.730100000000002,1.60147018912831,15.198784392020116,0.2351746518421507,15.518021508124209,1.579878630111243
E00020_260526_ds23_fh1440_m9_rt_hp3,E00020,2026-05-26,ds23,sa,30,40,1440,0.9,0.1,m9,hp3,m9_rt_hp3,"seed: 1, max_depth: 15, min_samples_split: 2, min_samples_leaf: 1, max_features: sqrt",,,453.4237384796143,4.9325,0.5225708351771822,21.9409,1.9802532077152828,4.865998378193569,0.5155253596479322,21.645085416342077,1.9535547688099704
E00021_260526_ds23_fh1440_m10_rf_hp1,E00021,2026-05-26,ds23,sa,30,40,1440,0.9,0.1,m10,hp1,m10_rf_hp1,"seed: 1, n_estimators: 100, max_depth: 3, min_samples_split: 2, min_samples_leaf: 1",,,136216.13037586212,16.9985,0.2667696676077613,17.6278,2.4575954282364885,16.769320513273875,0.2631729893422408,17.390136079294596,2.424461301176823
E00023_260526_ds23_fh1440_m13_lstm_hp2,E00023,2026-05-26,ds23,sa,30,40,1440,0.9,0.1,m13,hp2,m13_lstm_hp2,"seed: 1, input_size: 1, hidden_size: 64, num_layers: 1, output_size: 1, batch_size: 4096, epochs: 100, learning_rate: 0.001",,,1766316.835141182,63.35830000000001,1.0074039298006434,63.40920000000001,8.747356271087474,62.50408211760803,0.9938217716362404,62.55429586671092,8.629421475639733
E00024_260526_ds23_fh1440_m16_prophet_hp1,E00024,2026-05-26,ds23,sa,30,40,1440,0.9,0.1,m16,hp1,m16_prophet_hp1,"seed: 1, seasonality_prior_scale: 10, seasonality_mode: additive, weekly_seasonality: True, daily_seasonality: True, growth: linear",,,1153.9488554000854,16.960900000000002,2.314409425509862,21.100666666666665,3.928229722152207,16.73222744910356,2.283205780234546,20.81618039103966,3.875268009561969
E00025_260526_ds23_fh1440_m17_xgb_hp1,E00025,2026-05-26,ds23,sa,30,40,1440,0.9,0.1,m17,hp1,m17_xgb_hp1,"xgb_seed: 1, n_estimators: 200, learning_rate: 0.1, max_depth: 6, subsample: 0.8, colsample_bytree: 0.8",,,15343.366146087646,4.387500000000001,0.0746878690135002,16.070800000000002,2.564489457529077,4.328346251256823,0.0736809020761126,15.854128076284486,2.5299141492612254
