model_hp,underlying_load,net_load_with_pv,net_load_with_pv_battery
m17_xgb_hp1,0.2935711686851687,0.9305400751985884,0.983519229643922
m8_dnn_hp1,0.7036736701247988,1.7132073929201397,1.7358657240315627
m6_lr_hp1,0.2287903195871357,0.4707136816236943,0.4661286689853709
m10_rf_hp1,0.3396068190738762,1.6108189067321594,1.6125740321600508
m7_ann_hp1,0.601845558521322,1.12942907787614,1.1503632657019291
m1_naive_hp1,0.2441567904521782,1.3477739921706824,1.8327789854907053
m3_ets_hp1,0.1689141456955973,1.3235484008952854,1.823998195366747
m9_rt_hp3,0.8153979094896887,2.43290679519459,2.389268973402202
m13_lstm_hp2,1.706541416117066,10.8080154044617,11.32778764270375
m2_snaive_hp2,1.2493770056887792,3.6665074376714544,4.08344629452604
m16_prophet_hp1,1.309191612580401,5.5074523244902585,5.409207529120438
m4_arima_hp1,0.1686635605927122,0.8534221326748976,1.062987802795101
