experiment_folder,experiment_no,exp_date,dataset_no,dataset,dataset_freq_min,dataset_length_week,forecast_horizon_min,train_pct,test_pct,model_no,hyperparameter_no,model_name,hyperparamter,run_seed,seed_keys_overridden,runtime_ms,train_RMSE,train_RMSE_stddev,test_RMSE,test_RMSE_stddev,train_nRMSE,train_nRMSE_stddev,test_nRMSE,test_nRMSE_stddev,horizon_label,dataset_label
E00054_260516_ds20_fh1440_m4_arima_hp1,E00054,2026-05-16,ds20,ashd,30,140,1440,0.9,0.1,m4,hp1,m4_arima_hp1,"p: 1, d: 0, q: 1",,,2102.5429010391235,13.9944,0.5492850302388045,60.69855555555556,7.4314511724008385,3.7301489991203978,0.1464096356954993,16.178947025496583,1.98082233984616,1_day,ASHD_148hh_weather
E00055_260516_ds20_fh1440_m6_lr_hp1,E00055,2026-05-16,ds20,ashd,30,140,1440,0.9,0.1,m6,hp1,m6_lr_hp1,num_features: 50,,,562.9936456680298,29.001699999999992,0.2854949114160257,29.1234,2.537491114379625,7.730282272036677,0.0760974788538596,7.762720899858732,0.6763576816855359,1_day,ASHD_148hh_weather
E00056_260516_ds20_fh1440_m7_ann_hp1,E00056,2026-05-16,ds20,ashd,30,140,1440,0.9,0.1,m7,hp1,m7_ann_hp1,"seed: 99, hidden_size: 10, activation_function: relu, learning_rate: 0.001, solver: adam, epochs: 500",,,11336.906433105469,30.144300000000005,0.3074609460294649,30.5762,2.9160200730904906,8.034837540315058,0.0819524338378509,8.149958685395953,0.7772529981316445,1_day,ASHD_148hh_weather
E00057_260516_ds20_fh1440_m8_dnn_hp1,E00057,2026-05-16,ds20,ashd,30,140,1440,0.9,0.1,m8,hp1,m8_dnn_hp1,"seed: 1, n_hidden: 3, hidden_size: 10, activation_function: relu, learning_rate: 0.001, solver: adam, epochs: 500",,,13962.168169021606,27.5644,0.381608933042424,28.8502,2.5160172142142083,7.347175946904071,0.1017162707685644,7.689900578404456,0.6706339030877226,1_day,ASHD_148hh_weather
E00058_260516_ds20_fh1440_m9_rt_hp3,E00058,2026-05-16,ds20,ashd,30,140,1440,0.9,0.1,m9,hp3,m9_rt_hp3,"seed: 1, max_depth: 15, min_samples_split: 2, min_samples_leaf: 1, max_features: sqrt",,,1307.3566913604736,16.3901,1.1905821591884271,37.97420000000001,2.86408417784425,4.368712850174587,0.3173447128470897,10.12186475464456,0.7634097016936986,1_day,ASHD_148hh_weather
E00059_260516_ds20_fh1440_m10_rf_hp1,E00059,2026-05-16,ds20,ashd,30,140,1440,0.9,0.1,m10,hp1,m10_rf_hp1,"seed: 1, n_estimators: 100, max_depth: 3, min_samples_split: 2, min_samples_leaf: 1",,,502763.4161710739,31.1543,0.2343298008268588,31.8525,1.8978363265103293,8.304048831196523,0.062459631854055,8.490151131487059,0.505860363704542,1_day,ASHD_148hh_weather
E00060_260516_ds20_fh1440_m13_lstm_hp2,E00060,2026-05-16,ds20,ashd,30,140,1440,0.9,0.1,m13,hp2,m13_lstm_hp2,"seed: 1, input_size: 1, hidden_size: 64, num_layers: 1, output_size: 1, batch_size: 4096, epochs: 100, learning_rate: 0.001",,,2434233.343744278,35.2407,0.8184975463208997,37.1558,5.5107870540926855,9.393261721352989,0.2181671099290723,9.903723645280806,1.4688773233714547,1_day,ASHD_148hh_weather
E00061_260516_ds20_fh1440_m16_prophet_hp1,E00061,2026-05-16,ds20,ashd,30,140,1440,0.9,0.1,m16,hp1,m16_prophet_hp1,"seed: 1, seasonality_prior_scale: 10, seasonality_mode: additive, weekly_seasonality: True, daily_seasonality: True, growth: linear",,,411948.84247779846,28.0572,2.201826403491227,34.562222222222225,4.116790278171145,7.478529733187621,0.5868876518621496,9.212416297204523,1.0973132921531956,1_day,ASHD_148hh_weather
E00062_260516_ds20_fh1440_m17_xgb_hp1,E00062,2026-05-16,ds20,ashd,30,140,1440,0.9,0.1,m17,hp1,m17_xgb_hp1,"xgb_seed: 1, n_estimators: 200, learning_rate: 0.1, max_depth: 6, subsample: 0.8, colsample_bytree: 0.8",,,22343.80705356598,10.3046,0.1312437935040487,22.8374,2.0488401163151364,2.7466481861556096,0.0349824862073323,6.087213796412293,0.5461097945771615,1_day,ASHD_148hh_weather
E00063_260516_ds20_fh10080_m1_naive_hp1,E00063,2026-05-16,ds20,ashd,30,140,10080,0.9,0.1,m1,hp1,m1_naive_hp1,hyperparameter_1: No hyperparameter,,,2.156996726989746,41.1446,0.3672030016822363,41.0332,3.209205329118792,10.96692166217981,0.09787642980042,10.937228456433084,0.8554003062928255,1_week,ASHD_148hh_weather
