model_hp,30_min,1_day,1_week
m1_naive_hp1,0.5379759865264356,0.9046736655659656,0.8554003062928255
m2_snaive_hp2,0.9717741011080796,0.9721598453896716,0.8554003062928255
m3_ets_hp1,0.5060357187257044,0.944341535590332,0.8953766731438642
m4_arima_hp1,0.3402079527661269,1.98082233984616,2.402396783585336
m6_lr_hp1,0.180678092543408,0.6763576816855359,0.7448450230831728
m7_ann_hp1,0.8982455790526594,0.7772529981316445,0.7896872234798153
m8_dnn_hp1,0.2589037254051665,0.6706339030877226,0.8441456084250142
m9_rt_hp3,0.952486837758084,0.7634097016936986,0.9038318130721132
m10_rf_hp1,0.5278422233779698,0.505860363704542,0.6527151891135495
m13_lstm_hp2,1.5324758992973064,1.4688773233714547,1.477309043560218
m16_prophet_hp1,1.1792474818465757,1.0973132921531956,1.395915868941543
m17_xgb_hp1,0.2425320061288307,0.5461097945771615,0.5596617116974509
