Customer,Postcode,postcode_lat,postcode_lon,distance_km,selection_rank
298,2216,-33.9535,151.1481,3.1225980622652063,1
43,2205,-33.9313,151.1522,3.426691002967004,2
193,2205,-33.9313,151.1522,3.426691002967004,3
229,2205,-33.9313,151.1522,3.426691002967004,4
128,2044,-33.9233,151.1602,3.573299868480355,5
164,2044,-33.9233,151.1602,3.573299868480355,6
288,2044,-33.9233,151.1602,3.573299868480355,7
139,2018,-33.9167,151.2,4.073060464762638,8
192,2018,-33.9167,151.2,4.073060464762638,9
71,2204,-33.9074,151.1555,5.321095528144192,10
98,2204,-33.9074,151.1555,5.321095528144192,11
142,2204,-33.9074,151.1555,5.321095528144192,12
182,2204,-33.9074,151.1555,5.321095528144192,13
217,2204,-33.9074,151.1555,5.321095528144192,14
233,2204,-33.9074,151.1555,5.321095528144192,15
244,2204,-33.9074,151.1555,5.321095528144192,16
181,2207,-33.9353,151.1257,5.418940634291831,17
12,2218,-33.9711,151.1214,6.0341338171957215,18
