model_hp,ASHD_148hh_weather,AEDP_148hh_weather
m1_naive_hp1,9.09139856598342,24.29791264487488
m2_snaive_hp2,10.952794733054349,30.02667939179663
m3_ets_hp1,9.142048197409768,24.18397292375125
m4_arima_hp1,16.178947025496583,37.02113062458376
m6_lr_hp1,7.762720899858732,20.95087810626929
m7_ann_hp1,8.149958685395953,20.37987405013412
m8_dnn_hp1,7.689900578404456,20.40774642286474
m9_rt_hp3,10.12186475464456,26.32113600705667
m10_rf_hp1,8.490151131487059,21.89268232725275
m13_lstm_hp2,9.903723645280806,25.91566709324773
m16_prophet_hp1,9.212416297204523,33.42985633617479
m17_xgb_hp1,6.087213796412293,17.77631968996956
