model_hp,ASHD_148hh_weather,AEDP_148hh_weather
m1_naive_hp1,0.9046736655659656,3.348744868432324
m2_snaive_hp2,0.9721598453896716,4.354226012614508
m3_ets_hp1,0.944341535590332,3.531297956655503
m4_arima_hp1,1.98082233984616,4.116018630879622
m6_lr_hp1,0.6763576816855359,2.810574107363746
m7_ann_hp1,0.7772529981316445,2.492793911682588
m8_dnn_hp1,0.6706339030877226,2.432349271198585
m9_rt_hp3,0.7634097016936986,2.676915820969388
m10_rf_hp1,0.505860363704542,2.618398281240218
m13_lstm_hp2,1.4688773233714547,3.039382403233259
m16_prophet_hp1,1.0973132921531956,3.16022323982205
m17_xgb_hp1,0.5461097945771615,2.414256336856812
