model_hp,30_min,1_day,1_week
m1_naive_hp1,4.224911373510676,9.09139856598342,10.937228456433084
m2_snaive_hp2,10.946237705573472,10.952794733054349,10.937228456433084
m3_ets_hp1,4.146564668461408,9.142048197409768,10.980918280009355
m4_arima_hp1,3.5571133678658264,16.178947025496583,17.84713892664955
m6_lr_hp1,2.657142095583336,7.762720899858732,8.756670309459713
m7_ann_hp1,6.531439080949968,8.149958685395953,8.835541221313004
m8_dnn_hp1,4.138044086680705,7.689900578404456,8.577551509982142
m9_rt_hp3,7.45120878535064,10.12186475464456,10.444944958285577
m10_rf_hp1,4.967374790095156,8.490151131487059,8.994642428765626
m13_lstm_hp2,9.487459018578244,9.903723645280806,10.113575179252072
m16_prophet_hp1,9.17486295101776,9.212416297204523,9.74085821834842
m17_xgb_hp1,2.6118026494655755,6.087213796412293,6.6109763573846525
