model_hp,underlying_load,net_load_with_pv,net_load_with_pv_battery
m17_xgb_hp1,3.2249341195221275,6.305709620069942,5.571771416819912
m8_dnn_hp1,5.986005754615681,9.267244938121651,8.746302218726921
m6_lr_hp1,3.082543397092064,5.769087480098972,5.09210448194133
m10_rf_hp1,4.376197211764112,12.655225129117106,11.326524281671464
m7_ann_hp1,5.460705083598024,9.129552584245742,7.938964469585403
m1_naive_hp1,4.270691671586215,11.497058222768256,9.818597729795098
m3_ets_hp1,4.212272347712279,11.33678738874928,9.618823337046486
m9_rt_hp3,6.725240482695909,18.195773700886512,16.532020214005236
m13_lstm_hp2,16.774768455070916,59.80345666744817,51.61659313382953
m2_snaive_hp2,7.516114465929169,22.47039443835154,21.341974570762613
m16_prophet_hp1,6.851642986504468,21.57431371414666,20.54617654423168
m4_arima_hp1,3.9705777446779527,9.177584901420056,7.9137403204629555
