experiment_no,exp_date,dataset_no,dataset_label,forecast_horizon_min,horizon_label,model_no,hyperparameter_no,model_name,test_RMSE,test_RMSE_stddev,test_nRMSE,test_nRMSE_stddev,result_source
E00058,2026-05-16,ds20,ASHD_148hh_weather,1440,1_day,m9,hp3,m9_rt_hp3,37.97420000000001,2.86408417784425,10.12186475464456,0.7634097016936986,publication_journal_article_1_experiment_result
E00059,2026-05-16,ds20,ASHD_148hh_weather,1440,1_day,m10,hp1,m10_rf_hp1,31.8525,1.8978363265103293,8.490151131487059,0.505860363704542,publication_journal_article_1_experiment_result
E00060,2026-05-16,ds20,ASHD_148hh_weather,1440,1_day,m13,hp2,m13_lstm_hp2,37.1558,5.5107870540926855,9.903723645280806,1.4688773233714547,publication_journal_article_1_experiment_result
E00061,2026-05-16,ds20,ASHD_148hh_weather,1440,1_day,m16,hp1,m16_prophet_hp1,34.562222222222225,4.116790278171145,9.212416297204523,1.0973132921531956,publication_journal_article_1_experiment_result
E00062,2026-05-16,ds20,ASHD_148hh_weather,1440,1_day,m17,hp1,m17_xgb_hp1,22.8374,2.0488401163151364,6.087213796412293,0.5461097945771615,publication_journal_article_1_experiment_result
E00063,2026-05-16,ds20,ASHD_148hh_weather,10080,1_week,m1,hp1,m1_naive_hp1,41.0332,3.209205329118792,10.937228456433084,0.8554003062928255,publication_journal_article_1_experiment_result
E00064,2026-05-16,ds20,ASHD_148hh_weather,10080,1_week,m2,hp2,m2_snaive_hp2,41.0332,3.209205329118792,10.937228456433084,0.8554003062928255,publication_journal_article_1_experiment_result
E00065,2026-05-16,ds20,ASHD_148hh_weather,10080,1_week,m3,hp1,m3_ets_hp1,41.19711111111111,3.359184664633833,10.980918280009355,0.8953766731438642,publication_journal_article_1_experiment_result
E00066,2026-05-16,ds20,ASHD_148hh_weather,10080,1_week,m4,hp1,m4_arima_hp1,66.9571111111111,9.013072012977103,17.84713892664955,2.402396783585336,publication_journal_article_1_experiment_result
E00067,2026-05-16,ds20,ASHD_148hh_weather,10080,1_week,m6,hp1,m6_lr_hp1,32.8524,2.794435073101141,8.756670309459713,0.7448450230831728,publication_journal_article_1_experiment_result
E00068,2026-05-16,ds20,ASHD_148hh_weather,10080,1_week,m7,hp1,m7_ann_hp1,33.1483,2.962669556329224,8.835541221313004,0.7896872234798153,publication_journal_article_1_experiment_result
E00069,2026-05-16,ds20,ASHD_148hh_weather,10080,1_week,m8,hp1,m8_dnn_hp1,32.180400000000006,3.166981079128126,8.577551509982142,0.8441456084250142,publication_journal_article_1_experiment_result
E00070,2026-05-16,ds20,ASHD_148hh_weather,10080,1_week,m9,hp3,m9_rt_hp3,39.1863,3.3909058131026466,10.444944958285577,0.9038318130721132,publication_journal_article_1_experiment_result
E00071,2026-05-16,ds20,ASHD_148hh_weather,10080,1_week,m10,hp1,m10_rf_hp1,33.745200000000004,2.448791574997305,8.994642428765626,0.6527151891135495,publication_journal_article_1_experiment_result
E00072,2026-05-17,ds20,ASHD_148hh_weather,10080,1_week,m13,hp2,m13_lstm_hp2,37.9431,5.54242033872487,10.113575179252072,1.477309043560218,publication_journal_article_1_experiment_result
E00073,2026-05-17,ds20,ASHD_148hh_weather,10080,1_week,m16,hp1,m16_prophet_hp1,36.544777777777774,5.237057565507987,9.74085821834842,1.395915868941543,publication_journal_article_1_experiment_result
E00074,2026-05-17,ds20,ASHD_148hh_weather,10080,1_week,m17,hp1,m17_xgb_hp1,24.8024,2.0996828437753265,6.6109763573846525,0.5596617116974509,publication_journal_article_1_experiment_result
