aggregation_level_hh,model_name,mean_test_nRMSE,sample_std_test_nRMSE,mean_test_nRMSE_stddev,mean_runtime_s,n_samples
1,m1_naive_hp1,20.64684670206662,6.208901824703657,2.905101549001484,0.0016589800516764322,3
1,m6_lr_hp1,16.95600202542045,5.253895233723324,2.969895447007898,0.8171109835306803,3
1,m17_xgb_hp1,16.3916359120257,5.201432378056031,3.1542789729111806,30.23398033777873,3
10,m1_naive_hp1,18.941426644344542,4.008546901710204,2.5300585799638298,0.001002780596415202,3
10,m6_lr_hp1,16.05756240618447,3.46852139989963,1.9985736793575957,0.7032745838165283,3
10,m17_xgb_hp1,14.528624284342563,2.3669328898424222,1.7468467698157382,26.570372096697486,3
100,m1_naive_hp1,23.482298381411322,0.7502238057887662,2.9356131558425083,0.0022198438644409177,3
100,m6_lr_hp1,20.210362396822376,0.6300784901761702,2.4085315604912867,0.6160323222478231,3
100,m17_xgb_hp1,17.284603341879937,0.5453952663482229,1.95047429423723,24.11731526851654,3
1000,m1_naive_hp1,24.629621669773794,0.6159782670574456,3.034151275054319,0.0020519256591796874,3
1000,m6_lr_hp1,21.233867772338474,0.5295650554427775,2.4566785161594376,0.8682207663853964,3
1000,m17_xgb_hp1,18.274477593421462,0.45951752857868544,2.0345314987562753,28.482169008255003,3
