dataset_id,aggregation_level_hh,sample_no,edp_site_id,weight
ds32,100,2,W0266,1
ds32,100,2,W0280,1
ds32,100,2,W0291,1
ds32,100,2,W0294,1
ds32,100,2,W0302,1
ds32,100,2,W0324,1
ds32,100,2,W0336,1
ds33,100,3,S0120,1
ds33,100,3,S0135,1
ds33,100,3,S0158,1
ds33,100,3,S0168,1
ds33,100,3,S0170,1
ds33,100,3,S0172,1
ds33,100,3,S0179,1
ds33,100,3,S0191,1
ds33,100,3,S0209,1
ds33,100,3,S0216,1
ds33,100,3,S0244,1
ds33,100,3,S0247,1
ds33,100,3,S0256,1
ds33,100,3,S0259,1
ds33,100,3,S0289,1
ds33,100,3,S0295,1
ds33,100,3,S0299,1
ds33,100,3,S0310,1
ds33,100,3,S0316,1
ds33,100,3,S0318,1
ds33,100,3,S0320,1
ds33,100,3,S0321,1
ds33,100,3,S0334,1
ds33,100,3,S0335,1
ds33,100,3,S0337,1
ds33,100,3,S0349,1
ds33,100,3,S0366,1
ds33,100,3,S0367,1
ds33,100,3,S0374,1
ds33,100,3,S0380,1
ds33,100,3,S0393,1
ds33,100,3,S0396,1
ds33,100,3,S0405,1
ds33,100,3,S0406,1
ds33,100,3,S0410,1
ds33,100,3,S0417,1
ds33,100,3,S0425,1
ds33,100,3,S0428,1
ds33,100,3,S0431,1
ds33,100,3,S0443,1
ds33,100,3,S0450,1
ds33,100,3,S0452,1
ds33,100,3,S0459,1
ds33,100,3,S0487,1
ds33,100,3,S0494,1
ds33,100,3,S0501,1
ds33,100,3,S0502,1
ds33,100,3,S0516,1
ds33,100,3,S0517,1
ds33,100,3,S0524,1
ds33,100,3,S0532,1
ds33,100,3,S0533,1
ds33,100,3,S0536,1
ds33,100,3,S0553,1
ds33,100,3,S0558,1
ds33,100,3,S0562,1
ds33,100,3,S0567,1
ds33,100,3,S0569,1
ds33,100,3,S0570,1
ds33,100,3,S0571,1
ds33,100,3,S0579,1
ds33,100,3,S0582,1
ds33,100,3,S0585,1
ds33,100,3,S0588,1
ds33,100,3,W0001,1
ds33,100,3,W0008,1
ds33,100,3,W0018,1
ds33,100,3,W0024,1
ds33,100,3,W0027,1
ds33,100,3,W0031,1
ds33,100,3,W0037,1
ds33,100,3,W0042,1
ds33,100,3,W0047,1
ds33,100,3,W0070,1
ds33,100,3,W0073,1
ds33,100,3,W0075,1
ds33,100,3,W0085,1
ds33,100,3,W0097,1
ds33,100,3,W0118,1
ds33,100,3,W0120,1
ds33,100,3,W0155,1
ds33,100,3,W0179,1
ds33,100,3,W0181,1
ds33,100,3,W0183,1
ds33,100,3,W0195,1
ds33,100,3,W0198,1
ds33,100,3,W0199,1
ds33,100,3,W0207,1
ds33,100,3,W0237,1
ds33,100,3,W0250,1
ds33,100,3,W0253,1
ds33,100,3,W0263,1
ds33,100,3,W0266,1
ds33,100,3,W0280,1
ds33,100,3,W0291,1
ds33,100,3,W0294,1
ds33,100,3,W0302,1
ds33,100,3,W0319,1
ds33,100,3,W0336,1
