edp_site_id,postcode,state,lat,long,cluster,lat_deg,long_deg,date_of_first_data,date_of_last_data,number_of_days
S0387,2044,NSW,-0.5920732781417923,2.638243187973133,2,-33.9233,151.1602,2020-03-16,2024-09-30,1659
S0318,2191,NSW,-0.5917277029498975,2.636925464387877,2,-33.9035,151.0847,2020-07-25,2024-09-30,1529
S0247,2508,NSW,-0.5975605933100625,2.634042180463582,2,-34.2377,150.9195,2020-04-25,2024-09-30,1620
S0137,2234,NSW,-0.5940071029530022,2.635654864692425,2,-34.0341,151.0119,2019-01-01,2024-09-30,2100
S0120,2073,NSW,-0.5889421574637145,2.637923792720017,2,-33.7439,151.1419,2020-05-27,2024-09-30,1587
S0259,2155,NSW,-0.5881742125928371,2.634419171582013,2,-33.6999,150.9411,2020-01-02,2024-09-30,1733
S0452,2765,NSW,-0.5862944929884392,2.634047416451338,2,-33.5922,150.9198,2020-08-11,2024-09-30,1512
S0570,2285,NSW,-0.5751680190069753,2.64704488339094,2,-32.9547,151.6645,2020-08-13,2024-09-30,1509
S0524,2324,NSW,-0.5698116035326046,2.648739598094626,2,-32.6478,151.7616,2020-10-02,2024-09-30,1460
S0544,2250,NSW,-0.5795365781247171,2.638517204665696,2,-33.20500000000001,151.1759,2020-03-26,2024-09-30,1650
S0367,2525,NSW,-0.6010145998997594,2.632974038961362,2,-34.4356,150.8583,2019-12-04,2024-09-30,1762
S0403,2747,NSW,-0.5890102253045423,2.630596900520146,2,-33.7478,150.7221,2019-08-31,2024-09-30,1857
S0273,2569,NSW,-0.5966408047942616,2.630464255496994,2,-34.185,150.7145,2019-11-05,2024-09-30,1791
S0347,2765,NSW,-0.5862944929884392,2.634047416451338,2,-33.5922,150.9198,2019-01-01,2024-09-30,2100
W0042,2082,NSW,-0.5864917151939145,2.637545056272335,2,-33.6035,151.1202,2020-10-27,2024-09-30,1435
S0217,2121,NSW,-0.5892126834977737,2.637061600069532,2,-33.7594,151.0925,2019-01-01,2024-09-30,2100
S0366,2334,NSW,-0.570335202308203,2.642239991960199,2,-32.6778,151.3892,2019-01-01,2024-09-30,2100
S0417,2330,NSW,-0.5696353252781533,2.637070326715792,2,-32.6377,151.093,2019-01-01,2024-09-30,2100
S0459,2753,NSW,-0.5864236473530868,2.63110828199098,2,-33.5996,150.7514,2019-01-01,2024-09-30,2100
S0501,2232,NSW,-0.5938378060155587,2.636120867602707,2,-34.0244,151.0386,2019-01-01,2024-09-30,2100
S0289,2756,NSW,-0.5874533916117634,2.632145007566664,2,-33.6586,150.8108,2019-01-01,2024-09-30,2100
S0588,2043,NSW,-0.5917102496573776,2.638689992261643,2,-33.9025,151.1858,2019-01-01,2024-09-30,2100
W0092,2148,NSW,-0.5890172066215503,2.633574432224048,2,-33.7482,150.8927,2019-06-14,2024-09-30,1936
S0516,2263,NSW,-0.580199803240475,2.644248865929245,2,-33.243,151.5043,2019-06-28,2024-09-30,1922
W0077,2148,NSW,-0.5890172066215503,2.633574432224048,2,-33.7482,150.8927,2019-07-19,2024-09-30,1901
S0320,2285,NSW,-0.5751680190069753,2.64704488339094,2,-32.9547,151.6645,2019-07-22,2024-09-30,1898
S0299,2321,NSW,-0.5723074243629566,2.644442597476216,2,-32.7908,151.5154,2019-08-21,2024-09-30,1868
S0216,2289,NSW,-0.5749603248259879,2.647591171446814,2,-32.9428,151.6958,2019-01-01,2024-09-30,2100
S0350,2261,NSW,-0.5820673055401089,2.643009682160329,2,-33.35,151.4333,2019-09-06,2024-09-30,1851
S0455,2566,NSW,-0.5938028994305188,2.632473129466039,2,-34.0224,150.8296,2019-10-10,2024-09-30,1817
S0406,2147,NSW,-0.5896298171890003,2.634283035900357,2,-33.7833,150.9333,2019-12-02,2024-09-30,1764
W0027,2008,NSW,-0.5914344876355624,2.638894195784126,2,-33.8867,151.1975,2020-10-30,2024-09-30,1432
W0085,2026,NSW,-0.5914554315865864,2.640348055051038,2,-33.8879,151.2808,2020-11-19,2024-09-30,1411
W0075,2304,NSW,-0.5741766719918425,2.648294539135368,2,-32.8979,151.7361,2020-11-05,2024-09-30,1426
