model_hp,underlying_load,net_load_with_pv,net_load_with_pv_battery
m1_naive_hp1,1.1838424921799515,2.6900410584355505,3.984656608976542
m2_snaive_hp2,1.5355099033714692,2.657737219679128,4.555416356206549
m3_ets_hp1,1.1910129632471589,2.817906638144943,4.221313087488516
m4_arima_hp1,1.75230457496511,7.854137056478942,12.285834259387464
m6_lr_hp1,1.0043331672906637,1.8904297191476007,3.209971333190074
m7_ann_hp1,1.202047149090251,1.6687435327838307,2.9538204005054145
m8_dnn_hp1,1.1214187991777478,1.579878630111243,3.1794321694406005
m9_rt_hp3,1.278473262317143,1.9535547688099704,3.785567279423696
m10_rf_hp1,1.0359695249478906,2.424461301176823,3.3328407117517656
m13_lstm_hp2,2.009404561095544,8.629421475639733,13.10263163262776
m16_prophet_hp1,1.161807220259725,3.875268009561969,5.744648238744245
m17_xgb_hp1,1.0597107241008177,2.5299141492612254,3.727307812149588
