model_hp,underlying_load,net_load_with_pv,net_load_with_pv_battery
m1_naive_hp1,5.698226931521541,16.79171446424904,21.23634990024416
m2_snaive_hp2,6.692482525236531,21.370636202188308,27.70928447896133
m3_ets_hp1,5.579634055012698,16.925135497665433,21.29795087086505
m4_arima_hp1,10.47128722470533,51.45807671655634,57.67799404830968
m6_lr_hp1,4.786068504873341,14.761066504457116,18.947200831325187
m7_ann_hp1,5.458625367761511,15.33916585562213,19.59473127558124
m8_dnn_hp1,5.2670895501761015,15.518021508124209,19.85248881948424
m9_rt_hp3,7.016726340959133,21.64508541634208,28.09599049669357
m10_rf_hp1,5.222586922855575,17.390136079294596,21.673659481219666
m13_lstm_hp2,10.943283318171304,62.55429586671092,66.7986551336812
m16_prophet_hp1,6.713045195267529,20.81618039103966,27.016138028047365
m17_xgb_hp1,4.907796279603019,15.854128076284486,20.426414080841003
