datetime,observation,naive,forecast,residual
2010-07-16 13:30:00,-49.024,-59.49799999999999,-50.27682253264708,-1.2528225326470803
2010-07-16 14:00:00,-27.710000000000008,-49.024,-21.258493466418024,6.451506533581984
2010-07-16 14:30:00,5.834000000000003,-27.710000000000008,9.764870502138177,3.9308705021381734
2010-07-16 15:00:00,46.93199999999999,5.834000000000003,45.040177027537396,-1.8918229724625917
2010-07-16 15:30:00,111.274,46.93199999999999,94.08486440520652,-17.189135594793484
2010-07-16 16:00:00,161.32799999999995,111.274,170.8339202028743,9.505920202874364
2010-07-16 16:30:00,232.88200000000003,161.32799999999995,223.75549994401499,-9.126500055985048
2010-07-16 17:00:00,319.58000000000004,232.88200000000003,308.66703872231574,-10.912961277684303
2010-07-16 17:30:00,410.596,319.58000000000004,408.25738960974854,-2.3386103902514606
2010-07-16 18:00:00,488.384,410.596,458.8246703666955,-29.559329633304515
2010-07-16 18:30:00,493.028,488.384,500.95651311131803,7.928513111318011
2010-07-16 19:00:00,501.762,493.028,486.38424185570284,-15.377758144297161
2010-07-16 19:30:00,505.01,501.762,492.3044820713035,-12.705517928696509
2010-07-16 20:00:00,459.526,505.01,497.10876130445934,37.582761304459325
2010-07-16 20:30:00,435.916,459.526,435.7743825598218,-0.14161744017820865
2010-07-16 21:00:00,430.098,435.916,409.0105616771284,-21.087438322871606
2010-07-16 21:30:00,419.244,430.098,407.5371869483164,-11.706813051683639
2010-07-16 22:00:00,371.314,419.244,388.2847010448279,16.970701044827877
2010-07-16 22:30:00,340.73999999999995,371.314,330.2537094849217,-10.486290515078224
2010-07-16 23:00:00,285.136,340.73999999999995,301.016250201081,15.880250201080969
2010-07-16 23:30:00,260.622,285.136,239.38179929530585,-21.24020070469416
2010-07-17 00:00:00,212.618,260.622,231.197972692613,18.579972692613012
2010-07-17 00:30:00,191.356,212.618,182.98009887120992,-8.375901128790076
2010-07-17 01:00:00,158.994,191.356,166.85121912617538,7.85721912617538
2010-07-17 01:30:00,156.794,158.994,139.9758421795366,-16.818157820463398
2010-07-17 02:00:00,158.218,156.794,150.68728821710803,-7.530711782891956
2010-07-17 02:30:00,158.028,158.218,157.9631059579919,-0.0648940420080919
2010-07-17 03:00:00,146.588,158.028,154.9672716548303,8.379271654830319
2010-07-17 03:30:00,140.81799999999998,146.588,143.19168886324167,2.373688863241682
2010-07-17 04:00:00,140.566,140.81799999999998,138.8176809610677,-1.7483190389322942
2010-07-17 04:30:00,137.122,140.566,145.68276646366368,8.560766463663668
2010-07-17 05:00:00,145.228,137.122,146.10346351950088,0.8754635195008689
2010-07-17 05:30:00,152.182,145.228,152.07616438816797,-0.1058356118320205
2010-07-17 06:00:00,168.386,152.182,169.138563982515,0.7525639825149995
2010-07-17 06:30:00,200.64,168.386,201.91402136594724,1.2740213659472488
2010-07-17 07:00:00,238.768,200.64,233.39272955189895,-5.375270448101048
2010-07-17 07:30:00,278.19,238.768,258.41398525440593,-19.77601474559407
2010-07-17 08:00:00,291.718,278.19,287.0059378983848,-4.712062101615231
2010-07-17 08:30:00,283.66400000000004,291.718,271.2816119868444,-12.382388013155662
